title,date,SN,excerpt,author,abstract_zh,abstract_en,field
实体匹配方法、装置及电子设备,2018-12-4,201811474215.1,使用词向量和深度学习进行实体对齐。,杨帆 张成松,本发明公开了一种实体匹配方法、装置及电子设备，该方法包括：获取待匹配的实体名称；根据该实体名称所包含的字符串，确定用于表征该实体名称所表达的语义的第一编码向量；分别计算该实体名称的第一编码向量与标准名称库中各个标准实体名称的第二编码向量之间的距离；从该标准名称库的多个标准实体名称中，选取出对应的该距离较小的至少一个候选实体名称；根据该实体名称的第一编码向量和该候选实体名称的第二编码向量，确定该候选实体名称与该实体名称在多个预设维度上的特征匹配度；将该特征匹配度符合预设要求的候选实体名称确定为该实体名称对应的标准实体名称。本申请可以提高实体匹配的精准度，并减少人力资源消耗。," The invention discloses an entity matching method and device, and an electronic device. The method comprises the steps of obtaining an entity name to be matched; determining a first coding vector usedfor representing semantics expressed by the entity name according to the character string contained in the entity name; respectively calculating the distance between the first coding vector of the entity name and the second coding vector of each standard entity name in the standard name library; selecting at least one corresponding candidate entity name with a smaller distance from a plurality ofstandard entity names in the standard name library; determining feature matching degrees of the candidate entity names and the entity names in a plurality of preset dimensions according to the firstcoding vectors of the entity names and the second coding vectors of the candidate entity names; and determining the candidate entity names of which the feature matching degrees meet preset requirements as standard entity names corresponding to the entity names. According to the invention, the accuracy of entity matching can be improved, and the manpower resource consumption is reduced.",自然语言处理与知识图谱
预警方法及装置,2018-11-30,201811457374.0,根据生产设备的运行参数，使用机器学习算法预测发生各类异常的概率。,杨帆 金继民 王耀晖 张成松,本发明公开了一种预警方法及装置，获取设备的预定运行参数在最近的预设历史时长内的若干测量值，并提取该若干测量值的多个维度的特征；将所提取的多个维度的特征输入与上述预定运行参数对应的预先训练好的预警模型，得到表征设备的上述预定运行参数在未来是否发生异常预警结果，实现了对设备的预定运行参数在未来是否发生异常的预测。," The embodiment of the invention discloses an early warning method and device. The method comprises the following steps that: obtaining a plurality of measurement values of the preset operation parameters of equipment in latest preset historical duration, and extracting the characteristics of a plurality of dimensions of the plurality of measurement values; and inputting the extracted characteristics of the plurality of dimensions into a pre-trained early warning model corresponding to the above preset operation parameters to obtain an early warning result which represents whether the above preset operation parameters of equipment are exceptional or not. Therefore, whether the preset operation parameters of equipment are exceptional or not in the future is predicted.",工业智能
数据处理方法及其装置,2018-11-22,201811402639.7,根据设备当前状态和运行参数，使用机器学习算法计算其健康程度，并结合历史运行情况预测未来的健康程度。,王耀晖 余健伟 杨帆 张成松,本发明提供了一种数据处理方法，包括：获取目标对象在第一预定时间段内的第一特征信息，其中，特征包括目标对象的环境特征和目标对象的动态特征；训练第一特征信息以获得预测模型，其中，预测模型用于预测目标对象的健康程度；获取目标对象在第二预定时间段内的第二特征信息；以及将第二特征信息输入预测模型以得到目标对象在第二预定时间段内的健康程度。本公开还提供了一种数据处理装置。," The invention provides a data processing method. The method comprises the following steps of acquiring first characteristic information of a target object in a first predetermined time period, whereincharacteristics include an environment characteristic of the target object and a dynamic characteristic of the target object; training the first characteristic information to obtain a prediction model, wherein the prediction model is used for predicting the health degree of the target object; obtaining second characteristic information of the target object in a second predetermined time period; and inputting the second characteristic information into the prediction model to obtain the health degree of the target object in the second predetermined time period. The invention further provides adata processing device.",工业智能
信息处理方法和具有电驱动功能的车辆,2018-11-16,201811367012.2,根据当前车辆位置和能源状态，使用机器学习算法预测到达目的地时的能源状态，消除用户里程焦虑。,王耀晖 葛雨辰 杨帆 张成松,本发明提供了一种信息处理方法，应用于具有电驱动功能的车辆，所述方法包括：获取车辆位置信息、目的地信息以及可行驶里程的关联参数；根据所述车辆位置信息和所述可行驶里程的关联参数确定车辆是否可到达目的地或最近的充电地点；以及在可到达时提示乘员可到达信息。本公开还提供了一种具有电驱动功能的车辆。,"The invention provides an information processing method applied to a vehicle with an electric driving function. The method comprises the steps of acquiring vehicle position information, destination information and associated parameters of driving mileage, determining whether the vehicle can reach a destination or the nearest charging place or not according to the vehicle position information and the associated parameters of the driving mileage, and prompting passengers of reaching information when the vehicle can arrive. The invention further provides the vehicle with the electric driving function.",工业智能
一种数据处理方法及服务器,2018-9-29,201811147486.6,根据句法关系，将自然语言描述的问题进行结构化解析，并转换为图查询语言。,金继民 金宝宝 杨帆 张成松,本发明公开的一种数据处理方法及服务器，在获得问题语句后，基于问题语句的句子成分确定问题语句所属的问句类别，并在问题语句属于预定问句类别的情况下，对问题语句进行依存句法分析，得到问题语句的各组成元素间的依存信息，进而基于问题语句的各组成元素间的依存信息以及所述问题语句的句子成分，对问题语句进行结构化解析，得到问题语句的结构化信息。通过利用问题语句的各组成元素间的依存信息以及问题语句的句子成分，对问题语句进行结构化解析，可达到较好的解析效果，进而可基于解析结果准确地识别用户问句意图。,"A data processing method and a server are disclosed. After the problem statement is obtained, based on the sentence components of the problem statement, the question category to which the problem statement belongs is determined, and if the question statement falls into the predetermined question category, Dependency syntactic analysis is carried out on the problem statement to obtain dependency information among the constituent elements of the problem statement, and then structural analysis is carried out on the problem statement based on the dependency information among the constituent elements of the problem statement and sentence components of the problem statement to obtain structural information of the problem statement. By using the dependency information among the constituent elements of the question statement and the sentence components of the question statement, the problem statement can be structurally parsed, and the user's question intention can be accurately identified based on the parsing results.",自然语言处理与知识图谱
一种数据处理方法、服务器及电子设备,2018-9-25,201811115128.7,使用无限长度的循环神经网络预测流程制造设备的目标指标变化。,杨帆 金宝宝 金继民 张成松,本发明提供的一种数据处理方法、服务器及电子设备，可利用循环神经网络训练一预测模型，该预测模型用于对预定设备的目标指标进行预测。在训练预测模型时，除了以训练样本为模型输入，还引入了待预测指标所对应的所述预定设备的设备状态信息，并具体以第一训练样本的上一样本在训练过程中输出的第一设备状态信息作为第一训练样本在进行训练时的状态输入信息，这就使得设备状态信息能够按各样本的训练次序在各样本的训练过程中进行传递，相对应地能够使得所得的预测模型达到对设备状态信息的长时记忆效果，后续在利用该预测模型进行预测时，能够结合预测样本的数据及记忆的设备状态信息对目标指标进行预测，从而可使得预测结果具备较高的准确率。,"The present invention provides a data processing method, a server and an electronic device, which can train a prediction model by using a circulating neural network, and the prediction model is used for predicting a target index of a predetermined device. In a process of training the prediction model, In addition to taking training samples as model input, equipment state information of the predetermined equipment corresponding to an index to be predicted is also introduced, and the first equipment state information outputted from the upper sample of the first training sample in the training process is taken as the state input information of the first training sample at the time of training, this enables the equipment state information to be transmitted in the training process of each sample according to the training order of each sample, Correspondingly, the obtained prediction model can achieve the long-term memory effect of the equipment state information, and when the prediction model is used for subsequent prediction, the target index can be predicted by combining the data of the prediction sample and the memorized equipment state information, so that the prediction result canhave a higher accuracy rate.",工业智能
一种数据处理方法、服务器及电子设备,2018-9-21,201811108592.3,根据问题及答案，筛选候选模板集，并通过机器学习算法对候选集排序，使用最合适的模板封装答案。, 杨帆 金继民 金宝宝 张成松,本申请提供的一种数据处理方法、服务器及电子设备，在获得问题数据以及问题数据所对应的答案信息基础上，基于问题数据所对应的问题模型确定所述答案信息所对应的答案模型，并进而基于所述答案模型生成问题数据对应的至少一个候选答案语句，由于针对问题数据，生成了符合其答案模型的至少一个候选答案语句，从而为答案语句的确定提供了语言表述形式(语句形式)方面的选择空间，能够支持智能问答系统从中选择出更加贴近人类自然语言的答案语句，进而可有效提升智能问答系统在语言表述形式方面的答案质量。," the invention provides a data processing method,a server and an electronic device. on the basis of obtaining the question data and the answer information corresponding to the question data, determining an answer model corresponding to the answer information based on the question model corresponding to the question data, and further generating at least one candidate answer statement correspondingto the question data based on the answer model, in accordance with that problem data, generating at least one candidate answer statement that conforms to its answer model, Thus, the choice space of language expression forms (sentence forms) is provided for the determination of answer sentences, the intelligent question answering system can be supported to select the answer sentences which are closer to human natural language, and the answer quality of the intelligent question answering system in language expression forms can be effectively improved.",自然语言处理与知识图谱
一种数据处理方法及装置,2018-9-14,201811073868.9,使用爬虫获取与目标网页相同路径的其它网页，通过后缀树寻找公共xpath路径，获取domTree的公共节点，进而得到网页模板。,杨帆 戴超男,本发明公开了一种数据处理方法及装置，方法包括：解析至少一个页面，以分别获取每一个所述页面对应的节点路径信息列表；基于所述节点路径信息列表，对所述至少一个页面中的页面之间进行结构比对，得到相似页面；对所述相似页面的节点路径信息列表设置标签；基于具有相同标签的节点路径信息列表，生成与该标签相匹配的页面抽取模板。,"The invention discloses a data processing method and device. The method comprises the following steps: analyzing at least one page to obtain a node path information list corresponding to each page; carrying out structural comparison among pages in the at least one page based on the node path information list to obtain similar pages; setting a label on the node path information list of the similarpage; based on the node path information list with the same label, generating a page extraction template matching the label.",自然语言处理与知识图谱
构造产率预测模型的方法、系统及产率预测方法和系统,2018-8-17,201810946541.1,在生产设备上，通过传递熵、相关性等方法，寻找影响收率的工艺参数，并通过随机森林预测产量。,杨帆 金继民 金宝宝 张成松,本公开提供了一种构造产率预测模型的方法，包括获得训练数据，所述训练数据包括可能影响产率的多个因素的数据以及产率的数据，获得多个因素集以及与所述因素集对应的权重，基于因素与产率的相互关系，将所述多个因素映射到所述多个因素集中，以及基于处理后的训练数据和所述权重构造用于产率预测的随机森林模型，其中，所述权重与生成节点时，作为选择对应的因素集的因素的概率相关。本公开还提供了一种产率预测方法、一种构造产率预测模型的系统以及产率预测系统。,"The present invention provides a method for constructing a yield prediction model. The method for constructing the yield prediction model includes the following steps that: training data are obtained,wherein the training data include the data of a plurality of factors that may affect yields, and the data of the yields; a plurality of factor sets and weights corresponding to the factor sets are obtained; the plurality of factors are mapped to the plurality of factor sets based on correlations between the factors and the yields; and a random forest model for yield prediction is constructed based on the processed training data and the weights, wherein the weights are related to probabilities of selecting the factors of the corresponding factor sets when nodes are generated. The present invention also provides a yield prediction method, a system for constructing a yield prediction model, and a yield prediction system.",工业智能
数据同步方法及其系统以及服务器集群,2018-6-29,201810705478.2,根据元数据变化，获取源数据与目标数据的差异，进行增量更新。,杜军芝 杨帆 张成松,本公开提供了一种数据同步方法，该方法包括：获取来自数据源的用于描述内容数据对象的第一数据；获取存储在第一存储空间中用于描述内容数据对象的第二数据，其中，第二数据和已存储元数据对应，第二数据的数据量小于已存储元数据的数据量；比较第一数据和第二数据的差异，得到差异比较结果；以及基于差异比较结果对已存储元数据进行更新。本公开还提供了一种数据同步系统以及一种服务器集群。," The invention provides a data synchronization method. The method comprises the steps of acquiring first data for describing a content data object from a data source; acquiring second data which is stored in a first storage space and used for describing the content data object, wherein the second data corresponds to stored metadata, and the data amount of the second data is smaller than that of thestored metadata; comparing the difference between the first data and the second data to obtain a difference comparison result; updating the stored metadata based on the difference comparison result.The invention also provides a data synchronization system and a server cluster.",大数据与系统架构
化学反应路径获取方法、装置、电子设备及存储介质,2018-6-27,201810681778.1,将一系列化学反应抽象成图模型，寻找到达指定结点后成本最低、能耗最小、副产品价值最高等路径。,杨帆 匡启帆 金宝宝 张成松,本发明实施例公开了化学反应路径获取方法、装置、电子设备及存储介质，预先构建化学反应关系有向图，利用化学反应关系有向图建立了多个化学反应的关联关系，即以图的形式将孤立的多个化学反应关联起来；目标反应物对象包括的至少一个反应物对应化学反应关系有向图中相应位置的节点，目标产物对象包括的至少一个产物对应化学反应关系有向图中相应位置的节点。本发明实施例目标化学反应路径的查询转换成化学反应关系有向图中至少两个节点之间路径的查询，即利用该化学反应关系有向图，可以得到目标化学反应路径；即使目标反应物对象与目标产物对象不属于同一化学反应方程，通过化学反应关系有向图，也可以得到目标化学反应路径。,"The embodiments of the invention disclose a chemical reaction path acquisition method and device, an electronic device, and a storage medium. A chemical reaction relationship direct graph is constructed in advance, and a plurality of chemical reaction correlation relationships are established by the chemical reaction relationship directed graph, namely, isolated chemical reactions are associated in the form of a graph. A target reactant object comprises at least one reactant corresponding to a node at a corresponding position in the directed graph of the chemical reaction relationship, and a target product object comprises at least one product corresponding to a node at a corresponding position in the directed graph of the chemical reaction relationship. A target chemical reaction path query in that embodiment of the present invention is convert into a path query between at least two nodes in a chemical reaction relation digraph, namely, the target chemical reaction path can be obtainby using the chemical reaction relation digraph; and the target chemical reaction path is converted into a path query between at least two nodes in the chemical reaction relation digraph. Even if thetarget reactant object and the target product object do not belong to the same chemical reaction equation, the target chemical reaction path can be obtained through the directed graph of chemical reaction relationship.",工业智能
物体表面缺陷检测方法和装置,2018-6-1,201810562721.X ,通过双目相机，获取物体表面的深度信息，结合图像平面特征，通过卷积神经网络判断表面伤痕的类型和程度。,张成松 杨帆 王耀晖,本公开提供了一种物体表面缺陷检测方法，包括：获取物体表面的图像的指定信息，所述指定信息包括：图像深度信息；基于所述图像深度信息，分析所述物体表面是否存在缺陷。本公开还提供了一种物体表面缺陷检测装置、一种实现上述物体表面缺陷检测方法的计算机设备。,"A method for detecting a surface defect of an object is provided. That method includes: obtaining designation information of an image of an object surface, wherein the designation information includesimage depth information; and analyzing whether the object surface has a defect or not on the basis of the image depth information. The present disclosure also provides a device for detecting a surface detect of an object, and a computer device for realizing the method detecting the surface detect of the object.",工业智能
用于数据分析流程调度的方法、装置和服务器集群,2018-5-25,201810534550.X,根据一系统任务的依赖关系和先后顺序，把任务流解析为有向无环图（DAG），基于DAG调度任务。,余健伟 张成松 杨帆 胡成伟,本公开提供了一种用于数据分析流程调度的方法，包括：根据单个业务数据分析流程之间的依赖关系，获取多业务的分析有向流程；根据预设的调度规则，或者预设的调度规则和预设的依赖规则对所述分析有向流程进行调度。本公开还提供了一种用于数据分析流程调度的装置以及一种服务器集群。," The invention provides a method used for data analysis process scheduling. The method comprises the following steps that: according to a dependency relationship in a single business data analysis process, obtaining the analysis directed process of multiple businesses; and according to a preset scheduling rule or a preset scheduling rule and a preset dependency rule, scheduling the analysis directed process. The invention also provides a device used for data analysis process scheduling, and a server cluster.",大数据与系统架构
一种数据处理方法及装置,2018-3-29,201810271496.4,根据数据生成、修改、访问的信息，构建特征，使用机器学习模型预测数据的生命周期。,杨帆 金宝宝 张成松,本申请提供的数据处理方法及装置，在获得待处理数据后，提取待处理数据的特征数据，该特征数据包括待处理数据在时间维度或数据访问频次维度特征中的至少之一；在此基础上，利用预先训练的数据处理模型对特征数据进行处理以确定待处理数据的生命周期状态。本申请方案由于利用了预先训练的数据处理模型基于待处理数据在时间维度或数据访问频次维度的特征中的至少之一，来确定待处理数据的生命周期状态，从而，在确定待处理数据的生命周期状态时，具体是利用了大数据在时间维度或数据访问频次维度的特征中的至少之一与大数据生命周期状态的对应关系的规律，这与现有技术相比，既降低了人力成本，又可使得所确定的数据生命周期状态具有较高的准确度。,"The invention provides a data processing method and device. According to the method, after to-be-processed data is obtained, feature data of the to-be-processed data is extracted, wherein the featuredata comprises at least one of features of the to-be-processed data in a time dimension or a data access frequency dimension; and based on the feature data, a pre-trained data processing model is utilized to process the feature data so as to determine the life cycle state of the to-be-processed data. According to the scheme, the pre-trained data processing model is utilized to determine the life cycle state of the to-be-processed data based on at least one of the features of the to-be-processed data in the time dimension or the data access frequency dimension, therefore, when the life cycle state of the to-be-processed data is determined, the law of the corresponding relation between at least one of the features of big data in the time dimension or the data access frequency dimension and the life cycle state of the big data is utilized specifically. Compared with the prior art, labor cost is lowered, and the determined data life cycle state can have high accuracy.",大数据与系统架构
信息处理方法电子设备,2018-3-16,201810218121.1,基于SPO约束自编码神经网络文本生成的方法和装置,杨帆 匡启帆 金宝宝 张成松,本发明实施例公开了一种信息处理方法及电子设备。所述方法包括：获取第一文本；基于所述第一文本，确定第一关键词语；将与所述第一关键词语对应的第一关键词语向量输入到转化模型中，以基于所述第一关键词语向量生成第二文本，其中，所述第二文本包括所述第一关键词语及所述第一关键词语之外的词语。,"Embodiments of the invention disclose an information processing method and an electronic device. The method comprises the steps of obtaining a first text; based on the first text, determining a firstkeyword; and inputting a first keyword vector corresponding to the first keyword to a conversion model, thereby generating a second text based on the first keyword vector, wherein the second text comprises the first keyword and words except the first keyword.",自然语言处理与知识图谱
文本中噪音词的识别方法、装置、服务器组及存储介质,2018-3-9,201810195233.X,将待识别文本中的每个文字依次转换为字向量，通过机器学习获得噪声词的位置标记，和噪声类型。,金宝宝 杨帆 张成松,本申请提供了一种文本中噪音词的识别方法、装置、服务器组及存储介质，方法包括：获取待识别文本，将待识别文本中的每个文字依次转换为字向量，获得与待识别文本对应的字向量集合，将与待识别文本对应的字向量集合输入预先建立的噪音词识别模型，得到噪音词识别模型输出的待识别文本中噪音词的识别结果，其中，噪音词识别模型以标注了噪音词的训练文本对应的字向量集合为训练样本进行训练得到。本申请提供的文本中噪音词的识别方法可通过预先建立的噪音词识别模型对待识别文本进行识别，由于噪音词识别模型基于标注了噪音词的训练文本训练得到，因此，通过该噪音词识别模型可从待识别文本中识别噪音词。,"The invention provides an identification method, device, server group and storage medium for noise words in a text. The method comprises the steps that a to-be-identified text is acquired, each word in the to-be-identified text is converted into a word vector in turn, a word vector set corresponding to the to-be-identified text is acquired, the word vector set corresponding to the to-be-identifiedtext is input in a preconstructed noise word identification model, an identification result of the to-be-identified text output by the noise word identification model is obtained, wherein a word vector set corresponding to a training text with annotating the noise words is taken as a training sample for training to obtain the noise word identification model. According to the identification methodfor the noise words in the text, the to-be-identified text can be identified through a preconstructed noise word identification model, because the noise word identification model is obtained based onthe training text with annotating the noise words, the noise words can be identified in the to-be-identified text through the noise word identification model.",自然语言处理与知识图谱
